0.44,0.44,0.79,0.79,1.0,1.0,0.16,0.16,0.45,0.45,0.32,0.41,0.0,0.0,1.0,0.23,0.98,0.63,0.26,0.98,0.99,0.26,0.26,0.54,0.46,0.52,0.5,0.02,0.61,0.566,0.505,0.493
0.43,0.43,0.77,0.77,1.0,1.0,0.16,0.16,0.44,0.44,0.33,0.4,0.0,0.0,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.54,0.46,0.55,0.46,0.02,0.61,0.576,0.508,0.493
0.43,0.43,0.76,0.76,1.0,1.0,0.16,0.16,0.45,0.45,0.32,0.4,0.0,0.0,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.55,0.46,0.54,0.47,0.02,0.61,0.588,0.503,0.456
0.42,0.42,0.75,0.75,1.0,1.0,0.16,0.16,0.51,0.51,0.3,0.42,0.0,0.0,1.0,0.23,0.98,0.63,0.26,0.98,0.99,0.26,0.26,0.55,0.45,0.55,0.45,0.02,0.6,0.591,0.502,0.435
0.43,0.43,0.76,0.76,1.0,1.0,0.16,0.16,0.53,0.53,0.29,0.43,0.02,0.02,1.0,0.23,0.98,0.63,0.26,0.98,0.99,0.26,0.26,0.56,0.45,0.56,0.45,0.02,0.59,0.594,0.51,0.445
0.43,0.43,0.77,0.77,1.0,1.0,0.16,0.16,0.52,0.52,0.28,0.44,0.0,0.0,1.0,0.23,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.55,0.45,0.55,0.45,0.02,0.59,0.594,0.51,0.441
0.43,0.43,0.76,0.76,1.0,1.0,0.16,0.16,0.52,0.52,0.29,0.44,0.0,0.0,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.54,0.47,0.55,0.46,0.02,0.59,0.591,0.508,0.448
0.43,0.43,0.76,0.76,1.0,1.0,0.16,0.16,0.52,0.52,0.29,0.43,0.0,0.0,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.55,0.46,0.55,0.45,0.02,0.58,0.596,0.515,0.458
0.43,0.43,0.76,0.76,1.0,1.0,0.16,0.16,0.52,0.52,0.29,0.44,0.0,0.03,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.55,0.45,0.57,0.44,0.02,0.57,0.601,0.525,0.462
0.43,0.43,0.76,0.76,1.0,1.0,0.16,0.16,0.51,0.51,0.28,0.45,0.02,0.03,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.56,0.45,0.57,0.44,0.02,0.57,0.596,0.528,0.458
0.45,0.45,0.81,0.81,1.0,1.0,0.16,0.16,0.38,0.38,0.32,0.4,0.06,0.06,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.59,0.43,0.59,0.43,0.02,0.56,0.596,0.528,0.453
