0.53,0.53,1.0,1.0,1.0,1.0,0.16,0.16,0.3,0.3,0.34,0.38,0.02,0.02,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.56,0.45,0.56,0.45,0.01,0.65,0.57,0.488,0.393
0.53,0.53,1.0,1.0,1.0,1.0,0.16,0.16,0.29,0.29,0.35,0.38,0.03,0.02,1.0,0.23,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.57,0.44,0.56,0.45,0.02,0.59,0.565,0.495,0.397
0.53,0.53,1.0,1.0,1.0,1.0,0.16,0.16,0.3,0.3,0.34,0.38,0.03,0.02,1.0,0.23,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.57,0.44,0.56,0.45,0.01,0.58,0.553,0.503,0.435
0.53,0.53,1.0,1.0,1.0,1.0,0.16,0.16,0.3,0.3,0.34,0.38,0.03,0.02,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.57,0.44,0.56,0.45,0.01,0.59,0.549,0.527,0.448
0.51,0.51,0.95,0.95,1.0,1.0,0.16,0.16,0.42,0.42,0.31,0.41,0.02,0.02,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.56,0.44,0.56,0.45,0.01,0.59,0.558,0.545,0.454
0.49,0.49,0.9,0.9,1.0,1.0,0.16,0.16,0.5,0.5,0.34,0.39,0.0,0.0,1.0,0.23,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.53,0.49,0.53,0.49,0.02,0.6,0.555,0.542,0.465
0.49,0.49,0.9,0.9,1.0,1.0,0.16,0.16,0.51,0.51,0.33,0.39,0.0,0.0,1.0,0.23,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.52,0.51,0.51,0.53,0.02,0.6,0.537,0.54,0.47
0.48,0.48,0.88,0.88,1.0,1.0,0.16,0.16,0.51,0.51,0.31,0.42,0.0,0.0,1.0,0.23,0.99,0.64,0.25,0.99,0.99,0.25,0.25,0.5,0.55,0.49,0.56,0.02,0.61,0.524,0.527,0.463
0.46,0.46,0.84,0.84,1.0,1.0,0.16,0.16,0.49,0.49,0.32,0.4,0.0,0.0,1.0,0.23,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.51,0.52,0.51,0.53,0.02,0.61,0.518,0.522,0.461
0.48,0.48,0.88,0.88,1.0,1.0,0.16,0.16,0.5,0.5,0.3,0.43,0.0,0.0,1.0,0.23,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.51,0.52,0.51,0.53,0.02,0.62,0.516,0.52,0.458
0.49,0.49,0.9,0.9,1.0,1.0,0.16,0.16,0.49,0.49,0.3,0.42,0.0,0.0,1.0,0.23,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.51,0.52,0.51,0.53,0.02,0.63,0.519,0.517,0.461
0.49,0.49,0.9,0.9,1.0,1.0,0.16,0.16,0.48,0.48,0.3,0.43,0.0,0.0,1.0,0.23,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.52,0.51,0.52,0.52,0.02,0.63,0.533,0.517,0.465
0.49,0.49,0.91,0.91,1.0,1.0,0.16,0.16,0.48,0.48,0.31,0.41,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.52,0.52,0.51,0.52,0.02,0.63,0.539,0.515,0.465
0.49,0.49,0.91,0.91,1.0,1.0,0.16,0.16,0.49,0.49,0.31,0.41,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.51,0.52,0.51,0.52,0.02,0.63,0.548,0.508,0.468
0.49,0.49,0.91,0.91,1.0,1.0,0.16,0.16,0.49,0.49,0.31,0.41,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.51,0.52,0.51,0.53,0.02,0.63,0.549,0.51,0.475
0.49,0.49,0.91,0.91,1.0,1.0,0.16,0.16,0.49,0.49,0.31,0.42,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.51,0.53,0.51,0.53,0.02,0.63,0.544,0.515,0.477
0.49,0.49,0.91,0.91,1.0,1.0,0.16,0.16,0.49,0.49,0.31,0.41,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.51,0.53,0.51,0.53,0.02,0.63,0.545,0.517,0.475
0.49,0.49,0.91,0.91,1.0,1.0,0.16,0.16,0.48,0.48,0.31,0.42,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.51,0.52,0.51,0.53,0.02,0.63,0.549,0.518,0.475
0.49,0.49,0.91,0.91,1.0,1.0,0.16,0.16,0.35,0.35,0.33,0.4,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.53,0.49,0.52,0.5,0.02,0.63,0.546,0.518,0.476
0.5,0.5,0.94,0.94,1.0,1.0,0.16,0.16,0.3,0.3,0.34,0.38,0.0,0.0,1.0,0.23,0.98,0.63,0.26,0.98,0.99,0.26,0.26,0.54,0.48,0.53,0.49,0.02,0.61,0.551,0.522,0.479
0.5,0.5,0.94,0.94,1.0,1.0,0.16,0.16,0.34,0.34,0.34,0.38,0.0,0.0,1.0,0.23,0.98,0.63,0.25,0.98,0.99,0.25,0.25,0.52,0.51,0.51,0.52,0.01,0.6,0.556,0.517,0.475
0.5,0.5,0.94,0.94,1.0,1.0,0.16,0.16,0.35,0.35,0.34,0.39,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.53,0.5,0.52,0.52,0.01,0.6,0.56,0.513,0.475
0.51,0.51,0.95,0.95,1.0,1.0,0.16,0.16,0.35,0.35,0.33,0.39,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.54,0.48,0.53,0.49,0.01,0.59,0.571,0.517,0.475
0.51,0.51,0.96,0.96,1.0,1.0,0.16,0.16,0.35,0.35,0.33,0.39,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.54,0.46,0.54,0.47,0.01,0.59,0.576,0.522,0.47
0.52,0.52,0.97,0.97,1.0,1.0,0.16,0.16,0.35,0.35,0.33,0.39,0.0,0.0,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.55,0.46,0.54,0.47,0.01,0.59,0.576,0.522,0.465
0.57,0.57,1.0,1.0,0.97,0.97,0.94,0.94,0.34,0.34,0.34,0.39,0.02,0.02,1.0,0.26,0.94,0.66,0.28,0.94,0.95,0.28,0.28,0.56,0.45,0.56,0.44,0.02,0.58,0.576,0.522,0.467
0.57,0.57,1.0,1.0,0.97,0.97,0.91,0.91,0.28,0.28,0.35,0.37,0.02,0.06,1.0,0.27,0.94,0.66,0.27,0.94,0.94,0.27,0.27,0.56,0.45,0.59,0.43,0.02,0.6,0.568,0.522,0.47
0.5,0.5,0.94,0.94,1.0,1.0,0.16,0.16,0.32,0.32,0.34,0.38,0.02,0.03,1.0,0.24,0.97,0.64,0.26,0.97,0.97,0.26,0.26,0.56,0.45,0.57,0.44,0.02,0.6,0.569,0.518,0.475
0.5,0.5,0.94,0.94,1.0,1.0,0.16,0.16,0.34,0.34,0.35,0.37,0.0,0.0,1.0,0.23,0.97,0.64,0.26,0.97,0.97,0.26,0.26,0.53,0.49,0.53,0.5,0.02,0.59,0.571,0.505,0.475
0.48,0.48,0.88,0.88,1.0,1.0,0.16,0.16,0.34,0.34,0.36,0.37,0.0,0.0,1.0,0.23,0.97,0.64,0.26,0.97,0.98,0.26,0.26,0.52,0.52,0.5,0.55,0.01,0.58,0.582,0.512,0.475
0.47,0.47,0.85,0.85,1.0,1.0,0.16,0.16,0.49,0.49,0.43,0.3,0.0,0.0,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.52,0.52,0.52,0.52,0.02,0.58,0.588,0.528,0.475
0.46,0.46,0.85,0.85,1.0,1.0,0.16,0.16,0.52,0.52,0.38,0.35,0.0,0.0,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.5,0.55,0.5,0.55,0.02,0.59,0.596,0.532,0.478
0.46,0.46,0.83,0.83,1.0,1.0,0.16,0.16,0.65,0.65,0.34,0.39,0.0,0.0,1.0,0.28,0.98,0.67,0.28,0.98,0.98,0.28,0.28,0.43,0.69,0.43,0.68,0.03,0.58,0.599,0.52,0.469
0.55,0.55,1.0,1.0,0.98,0.98,0.16,0.16,0.45,0.45,0.32,0.4,0.0,0.0,1.0,0.29,0.98,0.68,0.29,0.98,0.98,0.29,0.29,0.31,0.92,0.31,0.92,0.04,0.59,0.599,0.512,0.471
0.57,0.57,1.0,1.0,0.97,0.97,0.16,0.16,0.51,0.51,0.29,0.44,0.0,0.0,0.75,0.3,0.97,0.69,0.29,0.97,0.97,0.29,0.29,0.31,0.92,0.31,0.92,0.04,0.77,0.59,0.505,0.478
0.57,0.57,1.0,1.0,0.97,0.97,0.16,0.16,0.57,0.57,0.28,0.45,0.0,0.0,0.75,0.27,0.97,0.66,0.28,0.97,0.97,0.28,0.28,0.31,0.92,0.31,0.92,0.03,0.87,0.593,0.49,0.488
0.57,0.57,1.0,1.0,0.97,0.97,0.16,0.16,0.56,0.56,0.28,0.45,0.0,0.0,0.75,0.26,0.96,0.66,0.28,0.96,0.96,0.28,0.28,0.31,0.92,0.31,0.92,0.03,0.87,0.596,0.492,0.494
0.57,0.57,1.0,1.0,0.97,0.97,0.16,0.16,0.53,0.53,0.28,0.45,0.0,0.0,0.75,0.25,0.96,0.65,0.29,0.96,0.96,0.29,0.29,0.31,0.92,0.31,0.92,0.02,1.0,0.596,0.5,0.493
0.56,0.56,1.0,1.0,0.97,0.97,0.16,0.16,0.5,0.5,0.28,0.44,0.0,0.0,0.75,0.25,0.96,0.65,0.34,0.96,0.96,0.34,0.34,0.31,0.92,0.31,0.92,0.03,1.0,0.605,0.508,0.496
0.58,0.58,1.0,1.0,0.96,0.96,0.8,0.79,0.22,0.22,0.35,0.38,0.0,0.0,0.5,0.29,0.55,0.68,0.56,0.54,0.56,0.56,0.56,0.52,0.52,0.55,0.46,0.08,1.0,0.616,0.513,0.491
0.58,0.58,1.0,1.0,0.96,0.96,0.34,0.34,0.2,0.2,0.35,0.37,0.13,0.2,0.5,0.29,0.43,0.68,0.56,0.42,0.44,0.56,0.56,0.64,0.41,0.68,0.39,0.09,1.0,0.621,0.528,0.491
0.58,0.58,1.0,1.0,0.96,0.96,0.25,0.25,0.2,0.2,0.37,0.36,0.27,0.31,0.5,0.29,0.42,0.68,0.56,0.41,0.42,0.56,0.56,0.73,0.37,0.76,0.36,0.09,1.0,0.65,0.538,0.489
0.59,0.59,1.0,1.0,0.95,0.95,0.23,0.23,0.19,0.19,0.38,0.35,0.31,0.38,0.5,0.29,0.41,0.68,0.56,0.41,0.41,0.56,0.56,0.76,0.36,0.8,0.34,0.09,1.0,0.7,0.542,0.494
0.59,0.59,1.0,1.0,0.95,0.95,0.25,0.25,0.17,0.17,0.39,0.34,0.36,0.42,0.25,0.29,0.39,0.68,0.56,0.39,0.39,0.56,0.56,0.79,0.34,0.83,0.33,0.1,1.0,0.741,0.552,0.506
0.59,0.59,1.0,1.0,0.96,0.96,0.16,0.16,0.25,0.25,0.39,0.34,0.25,0.33,0.25,0.29,0.43,0.68,0.56,0.44,0.43,0.56,0.56,0.72,0.37,0.77,0.35,0.1,1.0,0.786,0.565,0.535
0.58,0.58,1.0,1.0,0.96,0.96,0.16,0.16,0.25,0.25,0.39,0.34,0.33,0.4,0.25,0.29,0.29,0.68,0.56,0.3,0.28,0.56,0.56,0.77,0.35,0.82,0.33,0.1,1.0,0.822,0.578,0.553
0.58,0.58,1.0,1.0,0.96,0.96,0.16,0.16,0.22,0.22,0.38,0.34,0.55,0.6,0.25,0.29,0.25,0.68,0.56,0.25,0.25,0.56,0.56,0.92,0.29,0.95,0.27,0.13,1.0,0.857,0.583,0.57
0.58,0.58,1.0,1.0,0.96,0.96,0.16,0.16,0.2,0.2,0.39,0.34,0.58,0.63,0.25,0.3,0.25,0.69,0.56,0.25,0.25,0.56,0.56,0.94,0.28,0.97,0.26,0.15,0.75,0.854,0.598,0.58
0.58,0.58,1.0,1.0,0.96,0.96,0.16,0.16,0.19,0.19,0.39,0.34,0.55,0.6,0.0,0.3,0.25,0.69,0.56,0.25,0.25,0.56,0.56,0.92,0.29,0.95,0.27,0.15,0.71,0.864,0.605,0.586
0.58,0.58,1.0,1.0,0.96,0.96,0.16,0.16,0.2,0.2,0.39,0.33,0.49,0.54,0.0,0.3,0.25,0.69,0.56,0.25,0.25,0.56,0.56,0.88,0.3,0.91,0.29,0.14,0.77,0.881,0.605,0.589
0.58,0.58,1.0,1.0,0.96,0.96,0.16,0.16,0.21,0.21,0.4,0.33,0.48,0.52,0.0,0.31,0.25,0.69,0.56,0.25,0.25,0.56,0.56,0.87,0.31,0.9,0.29,0.14,0.82,0.889,0.612,0.592
0.58,0.58,1.0,1.0,0.96,0.96,0.16,0.16,0.23,0.23,0.4,0.33,0.46,0.51,0.0,0.31,0.25,0.69,0.56,0.25,0.25,0.56,0.56,0.86,0.31,0.89,0.3,0.13,0.96,0.889,0.613,0.592
0.58,0.58,1.0,1.0,0.96,0.96,0.16,0.16,0.25,0.25,0.41,0.32,0.46,0.51,0.0,0.31,0.25,0.69,0.56,0.25,0.25,0.56,0.56,0.86,0.31,0.89,0.3,0.11,1.0,0.889,0.608,0.595
0.57,0.57,1.0,1.0,0.96,0.96,0.16,0.16,0.26,0.26,0.42,0.31,0.48,0.52,0.0,0.3,0.25,0.69,0.56,0.25,0.25,0.56,0.56,0.87,0.31,0.9,0.29,0.11,1.0,0.876,0.605,0.596
0.57,0.57,1.0,1.0,0.97,0.97,0.16,0.16,0.26,0.26,0.41,0.31,0.46,0.51,0.0,0.3,0.25,0.69,0.56,0.25,0.25,0.56,0.56,0.86,0.31,0.89,0.3,0.16,0.84,0.871,0.602,0.598
0.56,0.56,1.0,1.0,0.98,0.98,0.16,0.16,0.26,0.26,0.41,0.32,0.38,0.39,0.0,0.32,0.25,0.7,0.56,0.25,0.25,0.56,0.56,0.8,0.34,0.81,0.33,0.16,0.85,0.856,0.602,0.602
0.0,0.0,0.0,0.0,1.0,1.0,0.16,0.16,0.27,0.27,0.39,0.33,0.31,0.36,0.0,0.32,0.25,0.71,0.56,0.25,0.25,0.56,0.56,0.76,0.35,0.79,0.35,0.14,0.94,0.844,0.598,0.605
0.0,0.0,0.0,0.0,1.0,1.0,0.16,0.16,0.28,0.28,0.39,0.34,0.3,0.33,0.0,0.33,0.25,0.71,0.56,0.25,0.25,0.56,0.56,0.75,0.36,0.77,0.35,0.13,1.0,0.833,0.593,0.6
0.0,0.0,0.0,0.0,1.0,1.0,0.16,0.16,0.32,0.32,0.38,0.34,0.0,0.0,0.0,0.33,0.25,0.71,0.56,0.25,0.25,0.56,0.56,0.43,0.67,0.44,0.66,0.11,1.0,0.815,0.583,0.595
0.0,0.0,0.0,0.0,1.0,1.0,0.16,0.16,0.36,0.36,0.38,0.35,0.0,0.0,0.0,0.34,0.41,0.71,0.56,0.4,0.41,0.56,0.56,0.37,0.79,0.38,0.78,0.11,1.0,0.796,0.575,0.582
0.0,0.0,0.0,0.0,1.0,1.0,0.16,0.16,0.35,0.35,0.37,0.36,0.15,0.16,0.0,0.34,0.25,0.71,0.56,0.25,0.25,0.56,0.56,0.65,0.41,0.66,0.4,0.1,1.0,0.776,0.562,0.575
0.0,0.0,0.0,0.0,1.0,1.0,0.16,0.16,0.34,0.34,0.36,0.37,0.22,0.24,0.0,0.34,0.25,0.72,0.56,0.25,0.25,0.56,0.56,0.7,0.38,0.71,0.38,0.1,1.0,0.759,0.538,0.567
0.0,0.0,0.0,0.0,1.0,1.0,0.16,0.16,0.35,0.35,0.35,0.38,0.3,0.31,0.0,0.34,0.25,0.72,0.56,0.25,0.25,0.56,0.56,0.75,0.36,0.76,0.36,0.1,1.0,0.745,0.522,0.555
